Month,Number of Passengers
Jan-91,1708917
Feb-91,1620586
Mar-91,1972715
Apr-91,1811665
May-91,1974964
Jun-91,1862356
Jul-91,1939860
Aug-91,2013264
Sep-91,1595657
Oct-91,1724924
Nov-91,1675667
Dec-91,1813863
Jan-92,1614827
Feb-92,1557088
Mar-92,1891223
Apr-92,1955981
May-92,1884714
Jun-92,1623042
Jul-92,1903309
Aug-92,1996712
Sep-92,1703897
Oct-92,1810000
Nov-92,1861601
Dec-92,1875122
Jan-93,1705259
Feb-93,1618535
Mar-93,1836709
Apr-93,1957043
May-93,1917185
Jun-93,1882398
Jul-93,1933009
Aug-93,1996167
Sep-93,1672841
Oct-93,1752827
Nov-93,1720377
Dec-93,1734292
Jan-94,1563365
Feb-94,1573959
Mar-94,1902639
Apr-94,1833888
May-94,1831049
Jun-94,1775755
Jul-94,1867508
Aug-94,1906608
Sep-94,1685632
Oct-94,1778546
Nov-94,1775995
Dec-94,1783350
Jan-95,1548415
Feb-95,1496925
Mar-95,1798316
Apr-95,1732895
May-95,1772345
Jun-95,1761207
Jul-95,1791655
Aug-95,1874820
Sep-95,1571309
Oct-95,1646948
Nov-95,1672631
Dec-95,1656845
Jan-96,1381758
Feb-96,1360852
Mar-96,1558575
Apr-96,1608420
May-96,1696696
Jun-96,1693183
Jul-96,1835516
Aug-96,1942573
Sep-96,1551401
Oct-96,1686508
Nov-96,1578982
Dec-96,1700433
Jan-97,1396588
Feb-97,1371690
Mar-97,1707522
Apr-97,1654604
May-97,1762903
Jun-97,1775800
Jul-97,1934219
Aug-97,2008055
Sep-97,1615924
Oct-97,1773910
Nov-97,1732368
Dec-97,1796626
Jan-98,1570330
Feb-98,1412691
Mar-98,1754641
Apr-98,1824932
May-98,1843289
Jun-98,1825964
Jul-98,1968172
Aug-98,1921645
Sep-98,1669597
Oct-98,1791474
Nov-98,1816714
Dec-98,1846754
Jan-99,1599427
Feb-99,1548804
Mar-99,1832333
Apr-99,1839720
May-99,1846498
Jun-99,1864852
Jul-99,1965743
Aug-99,1949002
Sep-99,1607373
Oct-99,1803664
Nov-99,1850309
Dec-99,1836435
Jan-00,1541660
Feb-00,1616928
Mar-00,1919538
Apr-00,1971493
May-00,1992301
Jun-00,2009763
Jul-00,2053996
Aug-00,2097471
Sep-00,1823706
Oct-00,1976997
Nov-00,1981408
Dec-00,2000153
Jan-01,1683148
Feb-01,1744350
Mar-01,2007927
Apr-01,2023778
May-01,2047008
Jun-01,2072912
Jul-01,2126717
Aug-01,2202638
Sep-01,1707693
Oct-01,1950716
Nov-01,1973614
Dec-01,1984729
Jan-02,1759627
Feb-02,1770595
Mar-02,2019912
Apr-02,2048398
May-02,2069063
Jun-02,1994267
Jul-02,2126717
Aug-02,2026560
Sep-02,1734155
Oct-02,1916769
Nov-02,1858341
Dec-02,1996351
Jan-03,1778033
Feb-03,1749489
Mar-03,2066466
Apr-03,2098899
May-03,2104911
Jun-03,2129671
Jul-03,2223349
Aug-03,2174360
Sep-03,1931406
Oct-03,2121470
Nov-03,2076054
Dec-03,2140677
Jan-04,1831508
Feb-04,1838006
Mar-04,2132446
Apr-04,2109144
May-04,2196549
Jun-04,2185162
Jul-04,2246389
Aug-04,2176306
Sep-04,1918759
Oct-04,2114084
Nov-04,2157279
Dec-04,2228712
Jan-05,1839593
Feb-05,1793393
Mar-05,2257739
Apr-05,2115206
May-05,2170325
Jun-05,2185873
Jul-05,2241162
Aug-05,2193906
Sep-05,2077231
Oct-05,2120981
Nov-05,2076685
Dec-05,2004402
Jan-06,1718844
Feb-06,1689593
Mar-06,2033850
Apr-06,2071622
May-06,2115474
Jun-06,2191444
Jul-06,2219010
Aug-06,2211471
Sep-06,1938601
Oct-06,2135602
Nov-06,2154199
Dec-06,2068565
Jan-07,1797382
Feb-07,1778662
Mar-07,2174315
Apr-07,2207139
May-07,2295604
Jun-07,2291449
Jul-07,2414051
Aug-07,2429470
Sep-07,2101002
Oct-07,2336370
Nov-07,2413851
Dec-07,2311615
Jan-08,2005038
Feb-08,2029448
Mar-08,2423532
Apr-08,2320130
May-08,2577189
Jun-08,2560067
Jul-08,2750278
Aug-08,2683564
Sep-08,2305321
Oct-08,2439526
Nov-08,2325788
Dec-08,2284620
Jan-09,1978503
Feb-09,1849331
Mar-09,2180182
Apr-09,2266655
May-09,2325658
Jun-09,2347829
Jul-09,2519869
Aug-09,2485223
Sep-09,2163752
Oct-09,2377710
Nov-09,2389841
Dec-09,2394671
Jan-10,2032586
Feb-10,1951410
Mar-10,2473551
Apr-10,2445765
May-10,2490611
Jun-10,2566473
Jul-10,2766812
Aug-10,2541159
Sep-10,2286215
Oct-10,2541170
Nov-10,2541087
Dec-10,2504249
Jan-11,2126429
Feb-11,2099010
Mar-11,2610567
Apr-11,2688955
May-11,2691371
Jun-11,2812202
Jul-11,2890763
Aug-11,2719462
Sep-11,2521110
Oct-11,2389179
Nov-11,2631290
Dec-11,2515467
Jan-12,2224002
Feb-12,2231641
Mar-12,2763361
Apr-12,2763894
May-12,2735455
Jun-12,2757916
Jul-12,2777117
Aug-12,2769229
Sep-12,2487441
Oct-12,2596272
Nov-12,2559615
Dec-12,2604566
Jan-13,2298047
Feb-13,2217348
Mar-13,2816139
Apr-13,2659243
May-13,2803527
Jun-13,
Jul-13,
Aug-13,
